Text,True_Label,Predicted_Label,Confidence
"great fire starter  i took it to boy scouts summer camp and since i am very new using flint and steel i had to have a scout help me but aside from that i was able to start a campfire once i got my tinder sorted out and we roasted marshmallows over the hot coals  the sparks are bright and hot and they pop and crackle like fireworks which i enjoyed
obviously this is not as easy as a match or lighter but it worked great and i would highly recommend it especially for someone who knows what they are doing
dont forget to scrape off the black coating before usage and i have been told i should remove the elastic cord that came on it because that makes it harder to strike
i just bought a second of these for my emergency kit  they are great and easy to light fires with if you know what you are doing",1,1,0.9997229
it was difficult keeping up with the two law enforcement agencies and plots  and the ending left the most important question unanswered,1,1,0.9988281
"liz and landon have been together the better part of 4 years she refers to them as peas and carrots they go well together but there is not a lot of excitement they are busy sometimes ships in the night

then suddenly they are laying it on the line and he proposes the excitement is back and it it makes liz want to find a way to keep it she wants to be strawberries and whip cream instead of peas and carrots and they have it at least for now

the she says to him how about we wait until our wedding night the bet is on whoever does not give in gets the honeymoon they have dreamed of liz is pleased even though she wants to jump landon then they are busy trying to pay for the wedding survive the inlaws and not get evicted

such an amazingly great story i have not laughed and cried so much for a book in a while i was truly impressed and that is not so simple to do i found the characters sincere and their quest was for the same thing we all want  to be happy we have found the right someone and have the happy after the buildup

i have to say i cannot wait for the next installment in the all about love series the author has really brought her a game to these books so be prepared to enjoy with plenty of chocolate and tissues

this arc provided by netgalleycom and its publisher for an honest review only",1,1,0.9995845
"cheryl strayeds book is at once lyrical poetic concise and brutally honest much like the trail she hikes

though toward the end she seems to lose the charming selfdeprecation of the first 23 of the book the way she wraps up the bookwhat every reader waits formakes every part of taking her journey worth it and worth discussing",1,1,0.9997478
my 3 year old loves daniel tiger and this mini plush is just the right size for her,1,0,0.6327941
i have bought this movie it is an excellent addition to my collectionthis movie was one of the worst movie ive seen in a long time  there was a lot of bad language and there was a lot of bad acting  this movie is still one of the worst movies ive seen in a long time  i dont think ive seen a bad movie in my life but im sure it is  i dont think ill ever watch it again  its not worth watching but im not going to put it down  ive seen a few good movies but this,0,0,0.9997744
these are awesome they fit perfect the only problem is that they are too small for my desk,0,0,0.9997662
i bought these for running hiking and hiking i also love that they are easier to use i had to replace a couple of the plastic ones so it should be easy to adjust it will be a pain to use them again i would definitely recommend them to a friend,0,0,0.99977654
"amazing product arrived on time and in good condition this product is exactly as advertised if you are looking for something like this then rest assured it is as it says it is very happy with purchase

but the rear sight amours tool used to take it off wont fit on any ghost sight you have to hammer it on by hand it only took a clamp on a wood work bench a flat head punch set and a hamer",1,1,0.9997744
what a stupid show and a bunch of stupid people i saw it for the first time and was so pleased the cast including the kids was great i would recommend it to anyone who loves to watch a bad show this is one of my favorite series i love it,0,0,0.9997737
interesting structure of writing  it spanned four generations in few pages  some sadness  it a good that when theres life theres hope  joan should not have given up,1,1,0.9997365
the old 5000v 30ma outdoor transformer died after 20 years  the sign though is indoors  this product worked great as a replacement and the pull chain onoff is a really nice added feature  this is a 10000v btw but will work for older 5000v signs  we are all lit back up now,1,1,0.9997713
purchased many times and like these  they finally got rid of the cloth underside to the sandal which helps with the stinky foot smell that happened with the old design,1,1,0.99975604
this grip makes it so much easier to move the handle around  when using the handle the grip is adjustable  i am using it with the trs10a and it works great  it does not have a grommets or any type of grooves  the trs10a is also a great tool for holding things like paper,0,0,0.9997689
excellent units with rechargeable batteries included and the privacy codes necessary to modify the basic channels if desired these units are able to communicate universally with other units even if a privacy code is being used we had originally purchased a less expensive toylike motorola set for use with our car club but they were lacking the privacy code capability used by our club and thus useless to us they were returned for these units and we are now in full communication again,1,1,0.99974746
very sturdy easy to setup and easy to clean i will be purchasing morevery pretty,0,0,0.9995962
it fits my camera like a glove it is not real leather which i like  i love the light brown color and how protective it is  the only thing is that when i carry around my neck or shoulder i keep the cover off completely off  because it wont just hang it will fall off so i keep cover in my purse and then just carry camera with the main attachment all day when using it  i wish the cover didnt just fall offbut having the camera so well attached to the main body is super convenient you just pull up point and shoot and let hang again it wont falli get a lot of compliments,1,1,0.9997392
this boot is adorable just as pictured the material isnt too shiny or too fake looking i am a tall girl though 510 and i feel they might be a little too short in the shaft for me,1,1,0.9996892
before you go jumping off into hightech hysteria think about what you want to do with what you might be buying its almost worthwhile to consult someone who has an ipad or someone who can guide you to what would work best in you personal daily use this is in most cases not going to replace a laptop or a desktop computer the size of the screen is really nice but then you cant put it in a suit jacket pocket nice to have with you yes easy to leave laying somewhere yes work with major programs such as adobe or filemaker only in an emergency and only if the program exists for the ipad up until now only some mini versions exist make sure what you want to primarily want to do really exists this i not mac os x this is ios 43 if staying online is that important and you dont mind carrying it around its not heavy but its bulky then you could consider this gadget its like a sports car its nice to have but its not a necessity what would be nice is something between the ipad 2 and the iphone  ipad touch sized ipad mini that would be half the screen size of the ipad 2 this way it might not fit in all suit jacket pockets but could be carried in a shoulder holster or similar carrier under the jacket sweater or what have you the larger size to accommodate the over 40 seeing problem and big finger dilemmas,1,1,0.99977547
exactly as i wanted cant say enough good things about this tool,0,1,0.9964395
i like this lil cutesies all vinyl doll it will be a christmas present  very cute  easy to clean,1,1,0.99952495
"never heard about this one but ended up glued right through to its end great find a dark comedy about a teenagers frustration with setting out on the road to selfdiscovery and coming to a dead end

the dialogue is nimble the music apt and the screenplay a refreshing change from the pat assemblyline teenybop flicks cranked out several times a year by hollywood the plot is peripheral its the characters and a fluid narrative that take centerstage

as delightfully droll but cynical 17 yearolds facing the first challenges of adulthood  leaving home getting a job finding a love life  the two female protagonists do a fabulous job of coming across as outsiders among their peers never quite trying to fit in

in what begins as a harmless goof one of them finds herself drawn to schleppy fortysomething seymour buscemi a regular joe and collector of 78rpm records you know buscemi from character roles in a bunch of popular movies including reservoir dogs all pentup cynicism and inherent geekiness he couldnt be more perfect in this role

thrown in are other interesting caricatures of some pretty credible small town characters notably an art teacher who got more inane with every highfalutin bit of art she expounded on high school kids

thankfully the movie resists the temptation of convenient closures so some may take issue with how it all turns out for the teenage girl and the middle age geek but it feels more real this way

what a marvellously done film rent it pronto even the credits are worth it",1,1,0.99976903
i purchased this for my sisters laptop when she broke her usb ports however she didnt have the pcmcia slot the product was exactly what i purchased and was delivered quickly i did return the item and after ups charges and a 1000 restocking fee i got 1100 back note to self dont rust what your sister says when you ask her if there is a 2 inch port on the size of a credit card on her laptop check it out for yourself d,1,1,0.9997329
"needed some long cables to hook up charging stations for my wife and my kindles at our bed

these do the trick  nicely constructed with solid feeling connectors

best thing about these is they are supple but not flimsy  many cables have a tendency to revert to their coiled status after long periods of being packaged which makes running behind furniture and such a royal pain  these go where you put them and stay there lying flat and not trying to curl up out of reach under the bed

most cables are good and these are better than most  both ends plug in solidly without undue force and with no feeling of slop  ive had many that tend to slide back out of the kindle end of things without warning  these do not do that",1,1,0.99976104
loved this have used it to make a ham and a turkey breast so far works great has easy controls and is super easy to use,1,1,0.95509166
these socks are the exact same size as the picture i normally wear a size 10 and ordered a size 105 i am a 32d and the inside of the shoe is just a little tight i am hoping that they will be comfortable and will be comfortable enough for the long trip i have a wide foot so i have to wear these for a long time i am quite surprised that i did not try to order a size up i am not sure if it is because of the sizing or because i am too small for,0,0,0.99977857
this book was a lot of fun to read the story line was compelling and his writing style makes this an easy read  i had a hard time putting it down  this was my first greg iles book and i am now looking forward to reading many more,1,0,0.93788487
"in my opinion the galapagos islands are the most beautiful and the most pivotal islands in the world that supports darwins theory of evolution and the origin of species its elegance and strangeness separate these islands more than anywhere in the world youll see lava fields shores and beaches sea lions bluefooted boobies and the albatross and much much more

the documentary is in three parts born of fire islands that changed the world and forces of change two and a half hours of splendor wonderfully narrated by tilda swinton the animals wildlife and beauty of the landscape is captured wonderfully in hidef

i suggest this film to anyone who loves the nature of our world as well as the theory of evolution",1,1,0.99977404
and this one is no better the quality is just as good as my original i just wish the external hard drive was a little larger the sound is crystal clear i would definitely recommend this product to anyone i will update this review when i receive it i have 2 pcs with a single hard drive in the same room and i have had no issues i just installed the new hard drive and it is working fine i will update this review if i receive any further information about the new hard drive i love these headphones i love them im a audiophile and they work great they are not as comfortable as i thought they would be but theyre comfortable,0,0,0.999772
"im long and lean and this dress is just as comfortable

the only reason i ordered this is because i had to get",0,0,0.9997595
"the power wheels dune racer c

dune racer is a spinoff from the original dune race which took place on a beach in the pacific ocean

the dune racer is a 3d model of the dune race the dune racer is painted in a translucent dark red and has a white propeller the vehicle is powered by a rotary propeller and the two engine types are a rotary engine and a rotary engine with a number of small propellers the engine is designed to overheat and plow the sand the dune racer is not only a spinoff from dune race but also a spinoff from dune racer

dune racer was created by mattel and mattel has a history of making toys that are just as fun as their games this was the first of many of the dune race toys that mattel released the dune racer was made by mattel and mattel has a history of making toys that are just as fun as their games

the only thing that i can say about this dune race toy is that it is very nice and interesting i would recommend this toy to anyone it is really fun to watch the sand come out of the dune race

i received this toy as a gift for my grandson he is 5 years old and loves it he loves it it is very easy to use and very easy to learn he also loves playing with it and he plays with it a lot i think it is a good quality toyvery cute  the hair is really cute",0,0,0.999765
for anyone who has ever been in the military this book is a vivid remembrance of past experiences for those who served in vietnam it is a painful revisiting of a tour of duty that should never have happened as i read the book and reflected on my own tour in vietnam in 196869 the pain fear anger and confusion came rushing back my life has been forever changed because of the experience as im sure is the case with many others the vivid experiences of shawn mcclellan serve as a portrayal of the vietnam vets emotions thanks for validating my feelings in some small way it helps,1,1,0.9995609
i actually have one of these on my bed and it is a nice size for the mattress and the other on the bed i am using it for the first time in a bed and it is very comfortable and comfortable i am a bit disappointedi bought this to replace,0,0,0.9997794
this sweater seems to be of good quality the fabric is warm and soft i like the drawstring that allows me to adjust the neckline it is a snug fit as you can tell from the image i am 55 125lbsi got a medium and it fits well wouldnt want it any smaller,1,1,0.691662
this really was a great find for a girl who loves  barbie the accessories alone that are included are well worth the price and we had no issues with the mechanics of the vending machine would buy again definitely,1,1,0.999701
trained the puppy on this and it did the trick i will keep this for the next couple of months great productworks great,0,0,0.99970955
"ive recently moved my old c100 to the office 3 years old and no problems and picked the citiz for home overall its a great looking machine that simply makes amazing espresso

heres my quick notes and comparison with the essenza c100

 the red and black have subtle differences in the spout and capsule release handle the black has a chromed handle which makes it look a bit more classier and a different spout shape which i ended up getting the overall build quality looks a bit nicer on the citiz than the essenza but ive only used it for almost two months so i cant comment on reliability but no problems yet

 the citiz  milk has a significant larger footprint than the compact c100 however it does integrate the frother using one plug which is a bonus

 the folding pedastal cup holder on the citiz is great for my larger mugs which i had to alway tilt and hold on the essenza which was a major annoyance

 the new aerocinno is amazing  a much better improvement over the older nonplus version and worth the extra money the foam taste is a whole lot better as far as texture goes the only thing is that it no longer uses a clever magnetic lid to keep the extra attachment

 overall the citiz amd essenza are equally as good as the espresso taste great with both i could recommend the essenza for the cheaper price in my case track proven reliability a smaller footprint since the aerocinno is separate and can be stored away but for some reason im just drawn to the look and presence of the citiz its something that looks subtly classy in the kitchen and makes an easy process of making a cappuccino that much more enjoyable",1,1,0.9997671
many twists and turns very well written it is one of those love him hate her stories always fun  bought another book by this author after reading this one,1,1,0.99975544
i am so happy that cc has not only written 3so far excellent stories but also kept them at a reasonable price im so tired of being personal opinion here ripped off by authors who have a greater opinion of their ability than may be justified i believe in paying for the authors legitimate intellectual property however looking at prices some of the greater authors  niven mccafrey etc some are having delusions of grandeur this was a very good story and suspense was palpable if you liked anneka honor youll like this not so out there as nova cannot wait to see where sigrid and the girls go because its a great big galaxy out there please keep it up,1,1,0.99978095
good case  better than expected  strongly recommend  would definitely buy again  believe this to be a sound purchase,1,1,0.99933773
we installed some fairly tall bulky wide wooden boards for our kitchen cabinets i was pretty impressed with the quality and the strength of the boards the plastic was a bit difficult to install but it worked great the boards were very sturdy and the materials were excellent the boards also had a nice solid feel to them i would recommend these boards to anyone who wants to hang a board on top of a table or cabinetgreat  i like that the spring is spring loaded and that the clips are easy to change  i love that it has a built in locking mechanism and that it can be programmed to either lock or unlock  i have not had a problem with any of the,0,0,0.9997718
best nonfiction book ive ever read the characters are well developed and believable and the plot is,0,0,0.9997466
love the two handles  nice and strong  not too big or too small  perfect for a pair of glasses  great product  the plastic handle is great and the color is beautiful  highly recommendi love iti bought this to replace a broken one i bought a year ago i was very disappointed its not cheap but its not very good it does look pretty but it is not very good its very thin its very hard to fill i would have given it 5 stars if,0,0,0.99975973
this product is very small and bulky and the instructions are very confusing i was hoping to get an extra large for the gun the instructions are not clear and its difficult to get it to open i was also hoping for a miniflash with no instructions i was disappointed i had to return it i really didnt want to spend more than i paid for it it was an awesome buy and i would buy again,0,0,0.9997737
i almost always give sandford a pass but i just wasnt as happy with the way he handled the two stories,0,0,0.99853134
"35 stars i really really enjoyed this book it is a super sweet romance and it just soaks in the couple time and we get so many phases of the relationship agh love it

aaron is completely sweet and well a wish fulfillment hero for someone as hurt and angry as zack zacks voice in wonderful with great asides to the read and wry self reflection

aaron is a bit of a doormat but there is some nice conflict around making sure zach and aaron are partners in this relationship

as much as i liked it and i did there are issues with the writing in terms of unresolved stuff

aarons relationship with zachs brother and wife need to be discussed there is so much co dependency in aaron

zach needs therapy for his childhood trauma

the plot pacing is sluggish so while even though i enjoyed it others will be driven batty
aaron has no pets he is a vet we never get to see his love of animals

and there is other weird stuff but i liked it anyway a lot lol",1,1,0.999772
i cant hype this film enough the story is very good and the characters are very believable the acting is top notch and the story is very interesting the acting was great and the movie was very well done the acting was a bit predictable but the movie was still fun the acting was a bit predictable but the movie was very well done,0,0,0.99975234
"the collar came quickly and the cat doesnt mind wearing it  it has a little bell on it so now i know where she is  the colors are very vibrant and the numbers are easy to read

october 27 update
a friend of mine liked the first one so much she asked me to order one for her new kitten  she loves it",1,1,0.98229975
great comfortable scrubs the only issue i have is i prefer the waistband to sit lower on my hips but when i do that with this pant the crotch hangs too low and the material feels illfitted when i walk causing me to have to pull up my pants often no matter how tight i make the drawstrings its just the way my body is but this pant is the best fit out of all the other greys anatomy pants im overall happy with them,1,1,0.99975437
this was part of a series of short films about a class of people who were students of the time  the film is very informative  the basic idea of the class is that they are,0,0,0.9997824
"i bought this for my fianc because we live in a bad area

pros
much more natural to usehold than a common can of pepper spray
well built feels solid  it has a thick screw in piece in the back like a flashlight where you can remove the propellant
detachable keychain is perfect  it takes a good bit of force to detach which is good

cons
very short range  we bought a practice spray canister to try it out and the spray only has an effective range of about 5 feet  at the end of this 5 feet it has turned into a cloud of mist so any breeze will reduce the range even further or cause self harm by blowing it back in your face  but it is still effective as a last resort close range spray
button is easy to press  moving it forward and down does not take as much force as i expected so it seems there is a risk of it going off accidentally in a purse or pocket especially since the button is raised and can catch onto things  this has not happened yet though
extremely limited capacity  the spray canister is tiny  you only get a few short sprays out of this or about a 3 second long spray  this could be a pro for some as its less likely a bad guy can use it against you once you unload it
as mentioned by others it looks inappropriate from the top  someone made some bad design choices on its appearance

while there may appear to be more cons than pros this serves its purpose as an easy to use last resort close range pepper spray  it feels very natural and is easy to aimconceal  its always ready if its on your keychain and can be detached if your keys are in the ignition
i would recommend getting a practice canister to get used to how the button works and the aimingeffective range",1,1,0.9997104
this ball keeps my fur baby active for hours she loves to play fetch and this little bit of crinkle drives her crazy in a good way,1,1,0.9997224
"i have read all the books in the series and i loved them this is the first one i have read by this author i am so glad i didthis is a great book it is short and sweet i am looking forward to reading more of the characters in this booki received this book from the author in exchange for an honest review

this is a good book for a quick read  i love the characters and the story line  the characters are very well developed and the plot is well developed  this is a well written book  you will not be disappointedi really enjoyed this book  i read it in a day i found it interesting",0,0,0.9997776
"the sound bar was very clear the only problem is that its not really a stereo but a pair of ear buds the sound is clear but not so clear that its worth the price its a little thin but its not too big

i love it i have a pair of ear buds and i have a pair of ear buds in my living room this is not a big deal for me because i have two very small ears and its not too big the sound is very clear but not so clear that its worth the price",0,0,0.99977356
excellent pocket knife and just what i was looking for  sharp out of the box and is easy to open once you get the feel for it  a little on the heavy side but its really nice for the money  i dont think you could go wrong all things considered,1,1,0.99966705
purchased this for grooming our dog  its a good quality product just the right sizei bought this for a friends cat and shes a huge fan of it  shes a little smaller than i thought but its still plenty big for her  i love it  i love the fact that its plastic and it folds up so you can use it as a treat  she seems to like it tooi have two very picky cats and this,0,0,0.99977523
i bought a protective glove for when i use this because it is really sharp and scary  it worked great for slicing the fresh ginger to make candied ginger  love the different thickness adjustments  small size to store in small kitchen,1,1,0.999777
even our 6 year old son has been fascinated with these for a long time i was surprised to find,0,0,0.996752
love this poop bag holder wasnt sure i would really use it but i do all the time,1,1,0.99877256
the fabric is thin however foot the price it was expected loved the look abd cant wait to rock these in vegas,1,1,0.99975437
"when i first received the clip and turned it on it froze while listening to the radio i managed to get it unfroze by connecting it to the computer  holding down the power button didnt do anything

i spent a little time transferring audio files to it then it went dead completely wont turn on wont connect to computer  submitted it for return to amazon today and now i have to wait another week to try it again

considering i bought some accessories to go with it if i cant get a functioning mp3 player ill be pretty upset at the waste of time and money

eta  i received a replacement which worked and as of april 2014 its still working fine",1,1,0.9996183
as with all the eastland shoes i have puchased the fit and quality was very good,1,1,0.99872583
jake whyte a woman is a real genius  her dad is a detective and her mother is a lawyer  the family lives in a small town but when a case is brought to court it is in the name of the victim  this is a case that should be remembered  and with the help of a young girl the family goes to the capital to take revenge on the murderer  a few months later a young girl named elizabeth a young girl named rachel is shot and killed by her uncle  this is the first time i have ever read a murder mystery where the mystery revolves around the murder of the victim  it is a very unique mystery that is told through a series of flashbacks  i cant imagine a novel like this not being a hit  it is very well written and i would recommend it to anyone who wants a little mystery to keep them entertained  i would recommend this to anyone who is a fan of the series  the story is about rachel and her brother jack a young girl who was murdered by her uncle who is now a lawyer  jack is a very talented lawyer,0,0,0.99977547
these were great for all ages the pieces were sturdy and the pieces fit together well,0,0,0.99974304
we have three generations living in our home so we have the young men trying to gain muscle weight and mature folks aiming to lose a few pounds  we all agreed we needed a kitchen scale so we could accurately track what we were eating  so you can imagine how pleased i was when i received an offer to review this item with no cost  when it arrived i was so excited  it looks very sleek modern and yet classic so it would fit right in with any kitchen decor  once the rest of the family saw it everyone wanted to measure stuff to see how it worked  besides the refrigerator it is now our most used appliance in our kitchen  my sons are constantly measuring pasta beans nuts etc for the protein count based on the serving size i love the led display which makes it reading the numbers so easy  the features are just what we needed as you can measure in ounces or grams check the temperature set a timer and it even has an auto shut off after two minutes of nonuse  the bowl that comes with it is a nice size and we have not needed a larger one yet also maybe you have noticed this but many of the recipes i have been trying from pinterest and other sites have the ingredients in ounces or grams instead of cups and teaspoons this scale makes it a breeze to make any recipe  i highly recommend you try this scale out we have had it for nearly a month and just love it,1,1,0.9997609
"there are 4 levels with manual switch with no fancy lights however thats just what we need for an air purifier nothing more the lowest one is so quiet that i can hardly hear it even i am 2 feet away the second lowest is still very quiet and good for sleep the strongest is not to bad either and can get air move fast

i developed allergy to my cat during pregnancy and after using this product my airway cleaned over night no more sneezes now i trust it to be in my nursery to accompany my baby and filter the questionable air we breath in manhattan",1,1,0.9997631
loved this story on many levels the characters were well developed and kept my interest,0,0,0.99973637
love them  very comfortable with roomy pockets  no ironing necessary,1,1,0.99959177
its rare to find an author who doesnt take a good enough science to give the reader the full story i had a hard time following the storyline through out the book i wanted to go through it in one day i wanted to know what happened with the two characters i wanted to know if they could possibly be together i wanted to know if they could come together,0,0,0.9996917
hatchet arrived covered in some oily substance that smelled and left black marks on hands perhaps like curing a cast iron pan however this isnt iron looked used heavy and fits nicely in hand and will be used for son and husband as they backpack and camp,1,1,0.99977285
i have use it for a couple of years now i will keep it for the next couple of years great product i will definitely order another one,0,0,0.99976593
i must say that i was a little disappointed to find out that the bottle opener was not included i had not had the opportunity to use it yet but it was greati have used this product in the past and i am very pleased i have used it in the gym,0,0,0.99976724
this is good for keeping a gun safe  not too big or too small  if you have a small gun you will want to get the large onegreat case the quality is great and the material is very thin i wish it was thickerthe pump does not work as well as i expected  i have had to replace it with a new one  i just went with the old pump  the new pump works greatthis is a great tool for camping or backpacking the mount is very secure and it is well built this tool is super lightweight and easy to use the mount is not too big and it is,0,0,0.9997744
i cycle and run and this has kept me cool i will keep this bag in my wardrobei bought this for my son who lives in the north dakota area  hes 53 and 110lbs and this is,0,0,0.99973804
the blanket is a perfect size for a crate blanket or dog bed its exactly what i wanted i ordered 2 of the black ones i would have given 5 stars but one of the blankets was packaged wet  when i opened the plastic bag that was sealed and got the blanket out the cardboard sleeve around the blanket was damp the blanket was damp too my first thought was omg its used and it was pet urine  i did a sniff test and i didnt smell anything foul  i decided to keep the blankets since there was no defects other than the damp one i am washing them really good to be on the safe side i want to add there was no sign of water damage to the amazon box upon arrival the other blanket was dry and the plastic bag the wet blanket was in was dry only the blanket inside the bag was wet this is a good indication it was packaged wet and shipped to me,1,1,0.9981939
weve been ordering these diapers for a couple years now i normally wear a size 10 and ordered a size 10 5 i am a 32d and these are great,0,0,0.999767
i remembered having one of those ones and thought it was a great deal for a small child it is so small that its not worth the extra money this one is very large and its a little smaller than i thought it would be this one is still very cute i love it my son loves this game he is 3 and loves to play with his older brother,0,0,0.9997788
after reading the review i decided to go with the comfortable fit  these pants are a bit snug around the waist but they dont hurt  the waistband is a bit tighter than it should be and the,0,0,0.9997516
i love this perfect for what i need  ive had mine for a couple of years,0,0,0.9997507
one of the most powerful movies i have seen a long while will smith and jaden are an incredible duo with a powerful and intense story for anyone who has gone through hardship in their life i totally recommend this movie for inspiration mind over matter you want something go out and get it,1,1,0.9994979
sad to see these end  shes hoping to find out how her sister is doing and how her father,0,0,0.99783295
thats a you go girl both for the super spunky heroine who doesnt want to wait for a knight in shinning armor to save her but instead is ready to solve the mystery herself and live for herself instead of following conventions and for the author anne osterlund who took on the big task of writing a first book and turned out a fun read also because i sort of knew her when we were little so im impressed that a small town girl has done big things  i really enjoyed this story  even though some of the events in the plot may seem familiar to those who like romancefantasy anne did a good job creating a fresh take on those events with her original heroine  im hoping for a sequel maybe and look forward to reading more by this author,1,1,0.9997714
short stories to fill in some of the gaps  i will admit that i was a bit nervous about reading this story,0,0,0.999728
i think it should have been an easy read and i will admit that i didnt find the story so interesting the main character hilderbrand,0,0,0.9996356
wonderful books how the characters have evolved keep m coming,1,1,0.99961025
to say this runs small it is a very comfortable fit  the only reason i ordered this is because i had to replace a pair of shoes that were not the,0,0,0.99977
this was a pretty good book the characters were well developed and kept my interest i just wish the author had had done some editing the story was a bit short but thats part of the story,0,0,0.9997583
freaking useless  stopped workingcats love it i will keep it for the next couple of months great priceworks great  my dog is a chewer and its easy to get her to eat it  if you feed it,0,0,0.9997625
no issues with this at all the only problem is that its kind of hard to find,0,0,0.999767
i love a good seal story the characters are well developed and believable the writing is solidi read this book in the last few days and have enjoyed it the characters are well written and well developed the plot is strong and the ending is very satisfyingthe author does a great job with the descriptions of the most common type of dog and how to identify them she does a great job with the description of the breed and the breeds characteristics i would recommend this book to anyone who is looking for a quick easy fun and easy readi read this book in one sitting it is a short story but it kept my interest i am a big fan of ms king and i hope she continues to writei like how it is a good start to a series  i look forward to reading morethis was a really good story very well written and really funny  i would recommend this book to anyone who is into westerns and westerns that are looking for a quick easy read  the characters were well written and the plot was easy to follow  i would recommend this book to anyone who likes a quick easy read,0,0,0.999777
i like the special effects  i love the movie  the plot is just a little too,0,0,0.9997632
ive been enjoying the whole kate shugak series and will miss reading the books i was surprised that this series ended the way it did  kate has been sort of a wonder woman through the whole series so the ending of this book just didnt seem consistent  i know mutt was a gift from the aunties when kate returned to the park but it would have been interesting if stabenow had provided a sort of history of how the aunties came to be in possession of a wolfhusky puppy,1,1,0.9995567
i fill these up and leave them in the refrigerator i love not adding more bottles to the landfill,1,0,0.9939592
would likely be great for a couple of years but i will keep my eyes peeled for the next generationi had a lot of trouble with the tv and the cover was very flimsy it was hard to,0,0,0.9997558
exactly what i thought these are shoes you might want to get a half size up i did they fit perfect  great color,1,1,0.99831104
if you have any questions at all about the teachings of the catholic church this is the resource you need  we have owned multiple copies and keep giving them out to friends,1,1,0.9995504
i read very little fiction but as an older friend said it is a pot boilernone stop actionwell writtenand one that is hard to put down i have actually read it three or four times,1,1,0.9977028
i will admit that it was an easy read and i did not need to read the full length story i had a lot of fun with the characters and the plot i enjoyed that it was a little short i will admit that i was disappointed with the shortness of the story i liked the shortness of the story and it was a little short i liked the ending but i did not like the fact that it ended a little abruptly i would have liked to see more of the relationship between the two main characters overall it was a good read and a short story it was a good read this was a good story but i did have a few issues with the writing i dont think ive read a book that has a relationship between the two main characters but i did find that i could relate to both of them i was just not very happy with the way the book ended it felt like the main character was trying to make her way back to her life and the story ended abruptly i was hoping that the author would have a more happy ending but i didnt feel it i felt like the book was rushed and i had a hard time getting through it it felt like it was rushed and just a lot of time was spent on the book,0,0,0.9997768
ordered size large for my daughter the wide width is too narrow i have a wide foot and she loves them the fit is perfect and she is very,0,0,0.9997718
i ordered an xl my waist is 31 butt and hips 46 im 57 it was hell getting on i have a very large bottom so it was difficult getting over the humps but it smoothed everything out and it did not make my butt go flat like some reviews said my waist line improved but it pronounced my luv handles if i had a shorter torso i think the cincher part of the waist wouldnt push out the luv handles i you want to use the pee hole make sure its lined up right and if you do you have to wear underwear over the suit,1,1,0.99977213
as long as they dont lose any files from my weddings i love them i have never lost files from a wedding so i worry when i purchase new cf cards so far so good,1,1,0.99975306
this has worked for many years the only problem is that its not really a stereo but,0,0,0.9997725
this is the best book i have read by a thirdtime author and i am just starting to read it the book is a bit long but it is a very enjoyable read i had no idea that this book would be one of the most popular books in the world i found it to be the most entertaining and i loved it,0,0,0.9997758
i love elizabeth bergs writing that being said i did not like this book probably because the more i read of george sand the less i cared about her actually thats not quite right as by the end of the book i really detested her she might have been a brilliant writer but seemed to me to have the morals of an alley cat a narcissistic one at that going from one lover to another who cares is she was philosophical about it,1,1,0.9997695
nice simple kit i can use during my computer builds,1,1,0.99971753
